               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.032105,            0.018203,           0.0020027,             0.88015,             0.84312,             0.88402,             0.49807,            0.031698,            0.015529,            0.007001,             0.00604,             0.00604,             0.00604
                 122,            0.032155,            0.018045,           0.0019382,             0.87683,             0.84866,             0.88412,             0.49812,            0.031695,            0.015528,           0.0070076,            0.006007,            0.006007,            0.006007
                 123,            0.032151,            0.018035,           0.0019679,             0.87756,             0.84862,             0.88432,             0.49857,            0.031699,            0.015531,           0.0070205,            0.005974,            0.005974,            0.005974
                 124,            0.031982,            0.017904,           0.0019558,             0.87966,             0.84502,             0.88414,             0.49819,            0.031701,            0.015532,           0.0070317,            0.005941,            0.005941,            0.005941
                 125,            0.031882,             0.01799,           0.0019602,              0.8806,             0.84442,             0.88408,             0.49819,            0.031694,            0.015532,            0.007036,            0.005908,            0.005908,            0.005908
                 126,            0.031977,            0.017908,           0.0019324,             0.87758,             0.84953,             0.88472,             0.49825,             0.03169,            0.015533,           0.0070393,            0.005875,            0.005875,            0.005875
                 127,            0.032065,            0.017841,           0.0019348,             0.87787,             0.85031,             0.88505,             0.49813,            0.031697,            0.015536,           0.0070421,            0.005842,            0.005842,            0.005842
                 128,            0.032071,            0.018025,           0.0019031,             0.87948,             0.84977,             0.88551,             0.49804,            0.031696,            0.015536,           0.0070453,            0.005809,            0.005809,            0.005809
                 129,            0.032003,            0.017959,           0.0018965,             0.88039,             0.84763,             0.88568,             0.49843,            0.031693,            0.015536,           0.0070463,            0.005776,            0.005776,            0.005776
                 130,             0.03178,            0.017824,           0.0019213,             0.88201,              0.8467,             0.88565,             0.49835,            0.031698,            0.015538,           0.0070503,            0.005743,            0.005743,            0.005743
                 131,            0.031948,            0.018006,           0.0019123,              0.8808,             0.84628,             0.88505,             0.49848,            0.031692,            0.015538,           0.0070542,             0.00571,             0.00571,             0.00571
                 132,             0.03182,            0.017967,           0.0019401,              0.8786,             0.84936,             0.88535,             0.49872,            0.031692,            0.015539,           0.0070583,            0.005677,            0.005677,            0.005677
                 133,            0.032011,             0.01774,           0.0019108,             0.87831,             0.85107,              0.8855,             0.49889,            0.031689,             0.01554,           0.0070603,            0.005644,            0.005644,            0.005644
                 134,            0.031904,            0.017926,           0.0018303,             0.87661,             0.85108,             0.88515,             0.49855,            0.031688,            0.015541,           0.0070724,            0.005611,            0.005611,            0.005611
                 135,            0.031635,            0.018152,           0.0018246,             0.87675,             0.85021,             0.88483,             0.49862,            0.031679,            0.015539,           0.0070764,            0.005578,            0.005578,            0.005578
                 136,            0.031682,            0.017921,            0.001903,             0.87735,             0.84981,             0.88534,             0.49893,            0.031678,            0.015538,           0.0070804,            0.005545,            0.005545,            0.005545
                 137,            0.031625,            0.017773,           0.0017968,             0.87738,             0.85016,             0.88566,             0.49925,            0.031676,            0.015539,             0.00708,            0.005512,            0.005512,            0.005512
                 138,            0.031365,            0.017718,           0.0018199,             0.87688,             0.85023,             0.88543,             0.49896,            0.031672,            0.015538,           0.0070769,            0.005479,            0.005479,            0.005479
                 139,            0.031661,            0.017769,           0.0017804,             0.87696,             0.84992,             0.88557,             0.49927,            0.031673,             0.01554,           0.0070731,            0.005446,            0.005446,            0.005446
                 140,            0.031427,            0.017707,            0.001838,             0.87708,             0.85004,             0.88535,             0.49882,            0.031677,             0.01554,           0.0070731,            0.005413,            0.005413,            0.005413
                 141,            0.031446,            0.017888,           0.0017781,             0.87733,             0.84959,             0.88547,             0.49923,            0.031674,             0.01554,           0.0070704,             0.00538,             0.00538,             0.00538
                 142,             0.03144,            0.017535,           0.0018551,             0.87735,             0.84966,             0.88605,             0.49963,            0.031673,            0.015541,            0.007066,            0.005347,            0.005347,            0.005347
                 143,            0.031526,            0.017728,           0.0017792,             0.87715,             0.84922,             0.88563,             0.49929,            0.031674,            0.015541,           0.0070641,            0.005314,            0.005314,            0.005314
                 144,             0.03137,            0.017688,           0.0017485,             0.87785,             0.84936,             0.88579,             0.49961,            0.031675,            0.015541,            0.007066,            0.005281,            0.005281,            0.005281
                 145,            0.031204,            0.017429,           0.0017729,             0.87732,             0.85097,              0.8857,             0.49937,            0.031679,            0.015544,           0.0070699,            0.005248,            0.005248,            0.005248
                 146,            0.031261,            0.017603,            0.001756,              0.8776,             0.85001,             0.88561,              0.4995,            0.031682,            0.015545,           0.0070653,            0.005215,            0.005215,            0.005215
                 147,            0.031209,              0.0177,           0.0017266,             0.87884,             0.84917,             0.88605,             0.49967,            0.031686,            0.015547,           0.0070621,            0.005182,            0.005182,            0.005182
                 148,            0.031172,            0.017595,           0.0017102,             0.87942,             0.84923,             0.88599,             0.49964,            0.031692,            0.015548,            0.007065,            0.005149,            0.005149,            0.005149
                 149,            0.030964,            0.017693,           0.0017491,             0.88023,             0.84764,             0.88597,             0.49988,            0.031695,            0.015549,           0.0070667,            0.005116,            0.005116,            0.005116
                 150,            0.031159,            0.017558,           0.0018195,             0.87995,             0.84775,             0.88605,             0.49949,            0.031695,            0.015551,           0.0070601,            0.005083,            0.005083,            0.005083
                 151,            0.031121,            0.017338,           0.0017722,             0.87937,             0.84811,             0.88583,             0.49969,            0.031701,            0.015553,           0.0070545,             0.00505,             0.00505,             0.00505
